"","V1"
"p_fyuka_trips",0.8
"n_households",94
"n_people_bk",576
"s_size_knowledge",94
"s_size_height",284
"s_size_weight",304
"s_size_grip",258
"n_shell_trips",35
"n_shell_trips_person",156
"n_shell_ppl",39
"n_trap_trip_participant",985
"n_trap_participants",53
"n_trap_trips",335
"prop_fem_shell",0.72
"prop_fem_trap",0
"min_age_trap",7
"max_age_trap",26
"mean_age_trap",15.23
"min_age_shell",8
"max_age_shell",39
"mean_age_shell",16.14
"n_below19_shell",27
"n_above20_shell",9
"min_age_trap_participant",7
"max_age_trap_participant",21
"mean_age_trap_participant",12.14
"mean_n_participants_shells",4.6
"median_n_participants_shells",4
"mode_n_participants_shells",4
"mean_n_participants_traps",3.48
"median_n_participants_traps",3
"mode_n_participants_traps",3
"latest_date_anthro",18321
"eaerliest_date_anthro",18049
"prop_complete_data_shells",1
"prop_complete_data_traps",0.98
"prop_complete_data_all_traps",0.85
"prop_miss_ppl_ID_traps",0.02
"n_traps",724
"n_trap_builders",24
"n_traps_success1",31
"n_traps_preys",34
